Team	|	Lineup
BOS		|	('Jayson Tatum', 'Grant Williams', 'Robert Williams III', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Dennis Schroder', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Jaylen Brown', 'Robert Williams III', 'Marcus Smart', 'Dennis Schroder')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Al Horford', 'Jaylen Brown', 'Dennis Schroder')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Marcus Smart', 'Dennis Schroder')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Robert Williams III', 'Marcus Smart', 'Dennis Schroder')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Al Horford', 'Marcus Smart', 'Dennis Schroder')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Al Horford', 'Dennis Schroder', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Al Horford', 'Dennis Schroder', 'Marcus Smart')
BOS		|	('Romeo Langford', 'Jayson Tatum', 'Robert Williams III', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Robert Williams III', 'Aaron Nesmith', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Enes Freedom', 'Marcus Smart', 'Dennis Schroder')
BOS		|	('Jaylen Brown', 'Al Horford', 'Robert Williams III', 'Romeo Langford', 'Payton Pritchard')
BOS		|	('Grant Williams', 'Al Horford', 'Robert Williams III', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Grant Williams', 'Al Horford', 'Dennis Schroder', 'Marcus Smart')
BOS		|	('Al Horford', 'Jayson Tatum', 'Robert Williams III', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Jaylen Brown', 'Dennis Schroder')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Marcus Smart', 'Jaylen Brown')
BOS		|	('Grant Williams', 'Jayson Tatum', 'Robert Williams III', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Aaron Nesmith', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Al Horford', 'Derrick White', 'Jaylen Brown')
BOS		|	('Aaron Nesmith', 'Grant Williams', 'Daniel Theis', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Al Horford', 'Daniel Theis', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Grant Williams', 'Daniel Theis', 'Derrick White', 'Marcus Smart')
